temperature,pressure,vibration,humidity,equipment,location,faulty
58.18018003931781,25.02927765103301,0.6065162172245139,45.694907104076414,Turbine,Atlanta,0.0
75.74071220894001,22.95401759548667,2.3380947537510077,41.867406792614915,Compressor,Chicago,0.0
71.35859424081657,27.27683031893662,1.3891983049086754,58.95440890948324,Turbine,San Francisco,0.0
71.61698526704753,32.24292130393475,1.7706896863176191,40.56513821185597,Pump,Atlanta,0.0
66.50683203881802,45.19747079743589,0.34539798929557564,43.253794756433095,Pump,New York,0.0
49.5109594501023,76.42672868018283,4.809297752752174,20.269692247772895,Compressor,New York,1.0
66.90350286011939,45.530758700156156,1.5483453514434098,64.8049215266908,Compressor,Houston,0.0
148.92336873207364,22.214121367591716,0.10981888071321333,39.944953294698905,Turbine,San Francisco,1.0
50.403298761202244,45.39989897809707,2.231717827130497,43.06766663283053,Pump,Houston,0.0
63.88614752611372,33.80291244598566,1.1392796250848973,41.795515332279166,Compressor,Atlanta,0.0
53.07043185804615,44.105202647740946,2.0716521371650067,47.45874176809897,Compressor,New York,0.0
141.26030984408388,54.23905839448483,2.7256907331768128,86.39046563060697,Pump,Atlanta,1.0
68.49162288433304,45.43867810655463,1.1950486465253989,59.989678353166205,Compressor,Houston,0.0
84.71170327493608,44.08496468393181,1.3594029939012853,47.56097051399158,Turbine,San Francisco,0.0
83.73658545162958,53.44757268774192,1.6430079038173124,25.5250485765034,Turbine,New York,0.0
81.66370545669253,21.75488511863934,1.2024155004624104,47.006730267041156,Compressor,Atlanta,0.0
67.41991463802391,31.181241132449326,1.4694021294460482,40.99360252021879,Compressor,New York,0.0
57.90305257158892,30.368126240480763,1.6529800122189182,48.857560858978744,Pump,Chicago,0.0
68.37207093927705,21.39498200278898,1.2247740636553939,47.37771862766168,Turbine,Atlanta,0.0
74.07052287124534,48.903879880988164,0.9233699136623706,50.287286924713044,Compressor,Atlanta,0.0
60.574419942081235,29.8788279592504,0.9840010543173805,44.6271098910761,Turbine,Chicago,0.0
67.2887639895743,42.9088703479934,0.8920780085873158,48.503246259867396,Pump,Atlanta,0.0
73.37602662075201,24.21603372506265,0.8650384563362264,59.74118468233698,Compressor,Chicago,0.0
88.33896546024376,39.49673809666094,1.2730582005754638,46.4524818037115,Pump,Houston,0.0
67.81954104607627,40.37016109364283,2.460618708544806,64.31453020787855,Turbine,Houston,0.0
117.25565678109554,76.17469161652276,3.255742838577201,82.1430583176929,Pump,New York,1.0
54.806539245231576,36.815455550401985,0.9008192265004515,43.231892644536856,Pump,New York,0.0
58.003024716346914,22.771269629925712,1.7303944241307005,46.08052092805733,Pump,San Francisco,0.0
73.34438514848522,32.59251765623893,1.329865161022915,40.71236999549155,Pump,San Francisco,0.0
65.21241428478311,47.83788009835882,0.845610847757022,45.03636870503999,Compressor,Atlanta,0.0
55.364850518678814,41.28148065848301,0.45278123664254855,23.994640725709765,Compressor,New York,0.0
44.46078865098045,26.55110744650331,1.3292397924973474,58.63842093638782,Turbine,San Francisco,0.0
